"UCTAt1.2_S4_trimmed53_len_filtered_counts","UCTBt1.2_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t14_S1_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t14_S2_trimmed53_len_filtered_counts","u2os_trex2a_t21_S4_trimmed53_len_filtered_counts","u2os_trex2b_t21_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t28_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t28_S6_trimmed53_len_filtered_counts"
49,222,20,68,174,2294,13,210
2,1,3,4,4,61,8,7
3,1,27,2,2,1,3,1
37,4,167,98,753,346,37,46
245,2157,62,50,1449,326,71,10
2,826,69,23,1105,8,84,4
11,239,58,39,34,449,6,119
224,177,365,9,4061,66,418,7
37,1486,21,40,195,72,23,49
244,1,91,6,926,2,80,8
1,3,1,1,1,1,8,5
619,4,26,42,692,35,69,18
656,108,102,6,1169,31,52,10
74,4,34,37,125,60,6,2
1708,1604,42,74,105,1406,5,107
1,1,67,32,116,138,9,49
2,1,38,30,523,17,21,5
2,2680,7,40,2,80,7,7
139,95,6,7,2,1,8,1
1,1249,81,15,246,99,14,47
258,264,7,32,3,134,10,6
57,3,47,6,1672,2,141,1
15,1116,279,161,2531,1676,474,165
782,2,2,6,3,1,6,4
1,7,200,39,3061,293,55,5
1,219,19,23,536,129,9,94
2,1,73,43,408,346,20,3
7,1,4,50,384,112,40,12
880,7,98,12,1669,52,44,6
212,584,8,133,2,1757,5,39
34,2,10,10,2,1,4,2
1,1,112,3,865,1,32,2
1,440,39,2,75,3,12,1
4,7,48,13,1095,2,57,6
3,351,70,6,364,2,8,7
582,536,48,84,168,1064,21,353
47,4,88,67,468,330,39,6
4,6,7,153,1,2293,10,422
5,518,1,2,453,1,37,4
2,6,100,11,360,4,49,7
3,446,46,130,267,1893,28,233
500,3,82,52,923,181,69,17
1,1,4,39,4,155,9,10
452,2,58,149,121,4183,13,921
97,719,94,214,1814,1635,109,635
1,416,30,26,1172,2,209,5
3,990,14,32,20,151,14,5
2,415,83,74,885,431,38,1
102,2089,11,17,3,94,7,7
4,2,103,12,49,1,7,3
3,2,5,1,1,1,6,3
11,1,1,7,42,1,4,1
5,3244,202,31,787,67,38,3
9,3,50,18,978,69,40,50
14,4,9,3,106,58,8,6
448,449,4,4,1,23,13,1
4,1291,45,100,158,985,14,206
652,2,139,77,593,1008,29,81
1,5,49,8,343,1,3,4
1,164,5,46,2,43,6,5
1,8,51,17,378,62,58,6
372,163,32,18,605,5,21,2
480,2,49,20,209,11,36,11
374,1334,12,217,332,2550,38,532
401,545,94,20,707,47,18,7
854,267,69,4,151,1,7,1
1,26,7,3,1,61,16,4
10,2,20,7,231,1,11,4
62,327,83,33,1713,21,314,9
1,1,27,8,29,1,16,6
5,2164,23,10,86,2,21,15
1508,1299,98,23,987,69,24,7
291,67,72,14,717,21,91,9
11,4,6,5,6,4,21,3
8,3,2,5,3,1,8,3
386,1,39,20,1055,248,36,7
268,946,57,101,126,878,24,380
56,452,32,14,410,175,63,10
1899,1657,105,161,269,1123,34,76
1440,45,4,54,114,77,12,5
2139,4,36,10,16,91,10,1
1,277,9,21,1,19,9,5
1,164,257,32,5886,33,426,15
3,3,30,227,332,2198,27,365
5,304,9,29,15,9,19,9
2,791,7,37,3,2,10,2
959,6,6,34,3,95,7,42
14,278,10,245,2,3866,35,2109
116,1347,179,74,1526,545,114,177
1,1,7,45,3,1496,14,253
1203,4,75,27,201,146,20,19
3,775,20,18,198,194,24,2
197,4,10,32,516,10,23,13
1,1533,10,11,324,4,9,2
55,485,25,43,153,140,19,68
7,305,59,26,1039,239,25,38
36,1636,14,19,258,160,15,7
821,1046,6,72,117,284,23,56
4201,354,162,105,2037,344,91,79
1583,16,5,66,10,339,15,2
31,1,184,9,4182,65,208,6
993,954,18,78,16,1413,30,369
1602,438,108,96,1428,1023,91,148
3,8,32,26,61,437,19,115
1,4,6,5,2,2,9,1
223,147,168,100,711,3159,46,831
1073,3480,42,326,518,3477,19,199
232,2,14,50,393,379,8,16
69,3,107,7,745,2,24,2
162,3,27,45,103,680,21,83
14,2,45,9,368,3,23,8
150,1582,35,115,1051,290,123,6
34,1,16,2,63,2,9,8
3,2,88,129,119,1292,11,115
9659,1480,135,169,1325,2288,121,234
1,2,5,1,1,1,12,2
358,1,37,93,903,720,80,104
7,184,14,16,92,5,26,21
1668,4,17,28,87,188,10,3
350,669,6,12,55,2,14,3
3,4,59,171,1259,2156,65,334
119,8,70,622,283,10632,46,1753
2,2,42,17,514,2,17,3
1,90,124,44,1295,260,26,12
137,2,54,9,199,5,16,13
1,155,13,8,469,163,90,5
739,465,37,42,1109,78,85,5
2,1760,17,233,3,1561,9,306
4,1,34,7,274,58,16,4
1,1,2,4,2,2,11,2
14,528,2,5,243,4,11,3
5,2,127,95,2660,869,322,158
162,1947,80,119,43,996,11,138
5,328,40,59,992,301,30,42
2674,447,20,5,93,4,2,2
1860,4,28,1,26,2,13,3
3,1068,36,118,872,703,82,68
2,2,82,15,731,4,49,6
1,1,7,8,1,62,13,8
152,890,249,7,5243,1,458,46
89,689,29,17,122,3,21,10
4,547,122,31,863,212,49,17
2944,7,74,32,1127,324,155,9
3,1,109,9,1022,2,135,12
2,3,1,16,26,2,5,9
2,30,20,98,239,1394,35,280
142,1,123,51,5110,1051,1205,42
546,5,16,33,81,80,18,5
118,2816,181,114,1330,1655,108,119
271,1,42,75,789,1225,140,309
1,1448,56,68,1321,104,65,9
71,1603,85,138,327,2808,40,507
7,216,6,21,1,419,13,5
3412,804,83,68,1217,330,221,15
1550,105,41,80,263,1229,4,86
25,198,86,121,618,876,37,47
17,593,13,77,205,731,25,43
16,215,39,103,174,84,12,19
346,2650,204,74,5165,367,744,43
115,174,54,25,1295,256,37,84
391,6,6,35,346,346,29,198
17,3479,13,8,43,9,14,1
163,16,22,90,474,920,206,122
4,109,78,11,303,1,23,8
82,122,28,21,126,17,5,4
420,1,10,8,1,109,3,34
1,1,1,19,1,1,4,1
1,4,20,14,5,274,11,82
1295,781,181,170,2583,1972,204,305
714,1460,86,21,1341,64,144,4
638,549,49,9,458,3,35,2
17,1,27,29,62,58,13,2
235,638,6,5,4,1,9,5
401,5,168,11,1980,2,189,7
2526,2,6,16,92,13,20,7
3,726,197,52,1375,145,43,11
2500,3,9,126,2,722,23,49
1,1,3,2,1,1,5,3
171,181,36,45,989,604,27,36
9477,1,32,20,21,1,8,3
61,378,51,38,770,293,199,7
3012,4393,45,17,337,52,20,8
164,313,8,17,159,177,9,1
373,5,63,75,365,493,21,5
160,2,34,2,10,1,1,3
896,1,24,5,295,4,34,4
3,2,13,215,37,4318,20,722
5699,539,49,24,361,44,36,17
165,1567,31,8,648,2,42,6
609,1019,68,16,86,24,22,3
657,144,1,3,1,1,2,4
396,331,26,40,685,388,18,28
5,96,83,27,143,1,24,4
24,161,10,12,231,1,20,1
593,373,238,154,2599,1204,180,219
68,388,66,39,725,168,32,11
1814,662,16,35,241,331,14,90
45,8,24,30,432,461,38,72
565,17,4,14,2,53,12,4
1295,3,69,293,109,5403,42,848
146,32,101,19,813,13,60,10
194,246,15,13,299,41,2,2
3,1337,10,16,3,13,26,8
481,4,77,35,1225,43,156,7
1,1004,111,18,946,26,57,6
63,1,89,50,747,308,51,80
43,238,200,8,2500,13,217,5
3,1,39,4,2068,3,189,1
2,2,247,94,2876,1205,341,149
20,258,123,16,597,70,32,4
7345,6,167,61,2764,352,214,13
948,3,76,22,315,23,46,6
1,191,31,12,19,10,19,8
15,315,6,21,3,120,12,3
1,512,18,133,227,1024,30,267
14,3190,18,290,83,4251,43,1050
1,113,105,14,1092,96,115,4
5910,217,51,31,530,3,60,9
4,1,6,4,1,35,12,3
5,4,28,14,230,3,35,4
387,1289,89,42,149,270,13,3
24,192,9,15,209,4,30,7
25,1,1,6,3,1,6,2
20,17,41,97,348,773,69,214
1,5,8,8,5,10,15,5
4,2,49,31,194,52,15,4
26,3,23,42,398,253,30,12
94,2,245,8,8876,5,1465,13
296,8,7,94,108,936,8,243
2,371,71,63,1160,330,57,45
968,2,62,15,195,160,24,9
1,592,9,52,61,21,20,3
2,1,6,6,125,5,13,1
4,5,203,8,1897,1,167,4
7,415,43,23,401,222,47,3
2,2,22,6,143,106,41,7
536,499,377,313,3756,4852,213,1127
23,3,41,82,419,454,35,266
3,1389,67,38,142,4,37,3
111,1,12,55,341,442,10,77
3867,52,65,3,608,2,38,1
1326,1099,36,71,256,532,30,226
269,392,43,25,939,23,45,4
3,1,4,9,76,1,3,3
1,305,5,41,3,331,8,6
1299,581,108,15,1597,1,150,4
10,1,8,13,436,1,30,2
300,2395,4,29,61,122,14,1
1581,169,198,373,6367,5016,660,645
1,59,35,4,220,1,25,7
1864,1329,36,116,460,1115,11,172
2709,1,2,44,26,523,8,9
139,5,17,26,3,110,27,69
5,1,79,14,3583,1,432,6
3,1,68,8,355,157,67,4
30,1122,130,27,737,148,110,10
5,2416,5,5,5,27,22,6
613,3,149,12,1595,207,110,3
193,712,45,31,138,82,16,3
7,1,12,11,5,3,15,3
29,102,8,31,1,62,8,27
2,426,79,3,321,1,25,1
202,2,77,2,486,23,51,4
147,1893,94,9,359,1,23,4
1801,2,371,46,3231,518,110,5
905,118,16,1,1136,1,72,11
318,3,7,21,3,177,13,49
3,3,96,33,190,98,9,4
3155,6,146,5,1544,2,278,1
84,6,16,76,1,368,12,7
84,1144,34,41,1,365,5,52
1693,1,292,87,7935,986,1204,250
2,2,30,6,126,2,9,3
1,1,6,2,1,2,2,4
1,5,49,48,292,558,55,26
123,1,22,6,155,1,13,5
1,1,6,14,176,2,3,3
1,1144,2,2,1,2,3,1
83,2,3,11,15,13,10,4
99,1048,41,5,353,5,40,8
1,2,2,4,1,2,5,1
1,438,11,14,2,44,15,5
2,2,1,1,1,16,3,1
1,14,127,6,854,1,72,5
1,183,1,24,6,165,10,1
3,1,1,2,120,1,10,4
564,1960,19,22,239,82,14,4
2,3,3,29,122,276,8,1
552,998,17,17,27,32,5,2
484,445,57,15,940,382,135,8
1,357,27,25,444,1,71,6
310,285,9,8,154,60,11,5
4,519,106,6,169,2,29,4
13,9,93,1,2032,2,105,2
51,1,32,28,502,63,22,18
1,215,1,3,238,1,1,1
1,1907,20,6,364,9,13,1
1,83,27,5,1,1,4,2
1,6,5,19,20,1,10,2
1993,682,14,12,12,14,18,3
1,2,16,49,2,388,7,2
636,811,50,11,98,226,14,1
1,4,20,8,83,1,9,5
16,98,5,6,317,4,10,4
1493,289,15,13,19,23,11,3
3448,1,5,18,2,1,12,5
2,2,5,146,4,3904,13,824
1,3,20,15,191,28,17,2
72,799,24,58,258,178,18,22
2722,150,67,48,536,315,20,51
2,1,152,18,1672,159,126,6
342,102,11,2,230,1,18,1
9,1,2,37,165,16,8,1
1,842,4,69,4,221,9,35
1,1072,1,22,78,1,15,1
190,167,8,8,248,57,10,6
614,1,65,15,964,6,109,3
1,2,27,38,76,369,24,11
2,7,7,22,1,19,16,3
184,2,134,232,844,2975,61,501
425,306,9,4,1,2,13,1
3,1,1,1,1,1,6,1
2,1,32,123,181,2681,12,242
5,2,3,91,1,841,7,82
1,918,100,7,1463,215,108,2
428,536,4,167,4,1729,15,83
1,614,31,5,112,7,35,5
2890,6,64,117,157,3716,13,1030
19,677,82,9,1998,1,334,1
1,376,4,4,229,193,8,4
88,5,49,5,696,3,26,9
2,400,54,14,960,3,94,4
1,56,35,7,476,5,33,1
75,1,11,2,308,2,13,2
143,445,5,61,188,292,24,34
183,650,6,70,3,2232,8,365
204,772,30,142,115,1603,32,236
30,1,21,7,195,2,5,5
538,1070,283,50,4934,403,373,21
15,762,44,5,249,2,23,1
896,1,146,6,1361,5,116,6
187,131,5,7,1,1,11,4
1,1,23,30,644,90,13,2
1,2,11,7,5,2,10,8
1,662,51,478,35,14738,26,2123
749,1858,19,102,224,600,9,5
2,1,55,89,430,116,13,3
4,1,79,18,691,185,63,1
3,4,2,4,5,2,4,3
3,757,108,15,1558,22,97,2
2,963,142,8,2871,9,177,5
5,447,148,51,1363,309,133,11
1526,2142,175,186,996,2494,12,258
1,1,14,12,342,72,60,11
1432,49,100,12,5381,4,979,8
328,141,206,5,3801,73,187,3
1,1,3,5,2,1,6,5
2,3,5,4,50,2,2,1
1,609,79,91,833,3668,66,1152
1,1,1,35,1,20,7,1
539,515,21,47,278,38,15,2
971,5,90,6,3336,40,155,4
5080,273,72,7,783,1,36,2
1,726,25,3,369,45,24,3
124,149,25,44,52,393,12,2
2,66,552,8,2250,1,124,1
2,1,2,1,1,4,4,2
4,2,4,9,1,4,10,4
1277,801,6,120,5,333,30,55
995,1,31,31,169,123,29,4
755,948,73,78,246,429,33,8
337,3,149,5,972,84,83,1
98,134,2,23,97,288,2,1
2,1165,23,158,1,1667,17,233
663,2,27,19,5,12,12,6
122,2,160,20,1829,4,119,5
1,838,19,8,1,108,6,3
1,1080,141,107,5562,4517,667,267
120,284,122,17,592,13,40,3
3,1,1,71,2,289,4,1
1,1,5,2,1,1,13,1
8971,1675,5,6,271,2,5,3
1,2,1,1,1,1,4,1
3,599,8,110,3,1332,9,154
443,210,1,1,121,1,2,1
1,11,9,23,2,6,19,4
33,45,13,31,1,288,16,61
726,752,17,61,1034,1095,168,108
72,1,19,1,1,1,5,1
1,1,53,7,266,1,27,3
1062,3,109,25,700,2,51,7
1,4,4,5,53,1,8,2
1,3,5,81,217,1155,20,284
1092,371,13,5,235,3,12,3
811,1042,57,22,517,105,16,6
1,1,50,10,67,56,16,40
1,4,2,2,3,37,7,1
2960,1097,96,134,783,1161,28,171
37,1923,47,58,252,193,11,6
5,1425,80,26,342,90,45,5
302,183,18,69,56,505,5,3
1637,675,2,1,1,1,3,1
2,349,56,117,103,953,28,115
78,3,4,7,4,2,9,6
2,1337,32,76,922,651,3,34
4506,2,2,2,1,1,4,1
126,3,204,25,4700,218,439,2
39,2209,131,3,1730,3,248,7
601,380,94,174,329,1777,6,124
3,102,6,4,253,7,5,4
5,1211,12,220,24,2337,21,287
2305,677,10,89,376,1314,4,137
2,3141,20,41,202,432,25,82
2,794,1,128,1,1610,4,283
3,449,1,10,11,1,7,3
1,528,108,6,237,2,19,5
35,3,72,6,338,1,23,2
1,1,4,5,74,1,2,1
527,1,49,3,386,1,1,1
1,2,63,6,216,3,8,3
1,629,73,75,2187,533,120,56
4,5,7,64,4,116,13,5
2,1224,16,8,188,2,4,2
1,1,38,175,197,4363,10,998
2,520,87,25,1619,16,43,3
962,2,110,5,269,118,32,4
193,234,117,50,1802,5,123,4
558,3,96,80,408,498,21,51
122,1195,37,17,815,3,48,3
4052,272,24,75,182,635,5,3
110,1,7,6,1,84,8,6
1,1,101,32,930,95,62,3
380,1,63,89,72,1756,8,241
1123,1,5,6,2,1,8,2
7,1121,14,26,107,5,13,4
48,587,34,4,353,1,6,1
1,917,4,3,201,2,10,3
37,476,354,138,1152,1121,68,379
1,13,8,330,7,3786,18,398
247,3,30,14,413,1,32,2
1,2,13,71,1,586,2,35
3,599,116,5,655,1,1,1
1,1611,1,19,3,415,6,1
1,5,17,6,169,71,16,1
2,1017,23,100,9,937,16,45
1,1,4,75,1,364,3,118
134,486,117,24,746,216,56,56
468,99,99,118,1107,570,52,39
35,639,2,3,94,1,7,1
198,486,136,56,3184,408,161,7
173,2,132,26,621,144,14,9
4,378,15,59,324,1134,15,47
1,2,2,3,88,2,38,3
1887,1333,49,5,789,9,23,8
178,300,6,77,489,992,18,227
1,3,29,11,426,23,6,2
1,5,4,6,13,41,9,7
1,4,3,10,4,1,4,5
4,1305,27,6,108,2,4,1
917,652,33,183,12,2134,15,230
2,2,14,13,34,109,11,3
175,982,95,34,924,56,47,3
4,816,67,41,702,5,20,2
1,5,4,36,54,131,13,3
598,3,1,83,16,1961,11,74
142,4,5,14,134,70,8,24
808,754,42,10,292,1,28,5
3,1,5,5,40,4,3,1
1,441,13,79,35,783,3,88
178,1,22,29,1,1,15,4
1,1,3,19,1,184,2,1
208,2,84,56,438,118,69,3
4,1,21,16,392,118,6,25
2,1,2,29,3,124,4,2
1,323,3,24,1,57,1,1
1105,6,24,11,193,1,6,6
1,140,3,11,1,3,6,4
1415,4,5,3,1,2,1,3
521,514,51,4,649,3,20,3
1096,1,20,2,144,1,5,1
90,2,3,3,1,1,1,3
1,3,22,87,160,387,22,5
370,2,25,169,133,1095,5,3
1,130,52,7,667,1,62,1
1,1302,73,217,493,3910,42,587
205,4,1,3,1,2,2,4
1,865,39,5,122,6,5,2
4,2,1,1,1,1,10,2
33,2,5,11,1,8,10,4
2,1843,98,95,786,3171,65,885
763,1256,124,34,818,100,52,9
1,80,34,25,189,15,28,6
644,1297,63,96,1066,985,55,12
3292,11,177,103,1658,273,153,32
406,249,40,36,254,16,36,8
2,3,9,9,6,7,15,3
593,406,266,226,4990,1830,372,154
84,1,31,43,590,156,12,1
885,1572,65,210,504,2290,14,168
7,5,124,91,1613,640,53,269
1,2,235,42,4887,123,580,10
5,2,20,6,298,3,32,3
7,5,18,15,3,2,15,3
885,1623,4,61,1,262,4,1
2,178,31,90,4,166,12,4
590,212,77,76,598,1722,26,186
1729,518,30,59,558,113,57,93
1,4,3,3,1,1,10,1
1,1,31,26,696,63,77,3
103,1839,30,92,213,761,41,105
4,629,25,39,101,390,17,27
1195,501,91,329,1461,2737,127,145
39,8,7,81,2,456,7,4
4347,216,238,46,2339,120,103,17
389,1189,71,56,137,554,15,44
1823,1136,174,178,2462,2182,102,158
87,231,68,120,131,680,17,63
256,1,29,4,94,23,13,8
3,462,2,8,335,1,9,1
1,5,62,21,514,43,41,2
2272,587,55,104,246,335,32,55
85,4,15,15,6,3,21,8
739,2917,58,8,469,3,39,5
946,1065,198,50,2465,165,136,25
228,1980,90,103,933,488,34,69
1,2,3,9,5,2,18,2
2,2,54,140,3150,1538,345,121
4023,281,206,46,3563,31,381,43
1338,4,18,57,221,240,15,48
430,1088,3,5,133,1,4,2
73,4830,176,92,5164,514,711,10
1079,1340,51,19,1406,9,214,7
49,1158,26,40,149,305,35,7
6144,587,86,8,977,7,95,5
188,589,46,15,52,15,15,1
4,121,29,11,227,111,17,2
2824,1080,79,58,662,92,85,8
558,205,212,24,2325,8,322,9
1,731,200,88,1591,947,165,29
323,2,116,85,1591,669,225,101
18,257,80,125,275,3472,34,192
2,301,93,119,1337,1240,60,131
1,1,26,1,532,1,28,1
525,1616,61,4,364,10,38,7
4502,615,349,23,4866,499,245,4
596,1885,201,213,2943,3290,153,139
3,13,5,33,51,284,43,62
1,1,10,6,191,1,20,4
97,313,57,137,64,1967,31,228
24,1363,22,38,175,452,46,5
2139,1088,116,62,4806,414,587,51
1,3,4,50,548,1310,5,192
631,3,4,11,1,48,7,2
370,241,17,35,191,452,45,3
395,748,66,41,1144,29,54,1
650,6,166,41,3683,75,241,8
3,73,26,12,109,175,10,1
319,7,92,37,994,446,78,27
1623,556,64,95,1358,1598,80,105
640,6,34,91,184,1315,13,67
614,4,15,17,127,97,8,4
1644,1147,73,115,345,557,21,55
10,3252,177,29,1891,26,134,46
2,144,63,13,2803,6,403,8
4,1638,6,12,6,2,15,2
297,310,8,242,3,6409,26,792
1,168,194,30,2789,181,226,28
1226,290,10,227,132,5592,27,809
112,585,51,17,280,3,14,2
207,1492,71,49,386,478,61,30
224,6,88,7,1370,1,67,2
3,198,30,66,200,2179,18,470
182,920,59,60,497,529,32,36
58,2,9,18,850,202,62,7
1,1507,33,149,398,1473,22,267
1,1,27,70,781,477,11,6
2200,864,11,15,74,16,9,44
57,1354,128,101,1645,431,74,12
2,279,178,23,2192,50,132,35
50,4,32,8,847,4,153,9
18,889,37,12,393,3,62,6
4,233,53,71,1864,461,180,33
1,6,2,38,456,119,11,4
2208,953,23,33,153,37,44,2
1,538,71,76,196,647,38,18
2181,468,39,102,209,529,17,39
1,81,37,25,114,65,46,10
4899,479,245,288,7948,1748,1290,51
189,5,124,10,649,3,68,4
419,378,12,9,4,1,15,2
2114,5,266,50,6555,116,1082,17
377,2465,37,20,5,144,29,8
173,316,17,85,176,582,19,54
1421,970,48,246,341,2498,50,249
2429,1103,32,273,1016,1512,22,90
1326,63,51,8,238,1,30,6
3950,271,183,124,2489,1576,190,164
2894,1938,34,51,98,101,11,29
29,5,66,56,318,330,23,63
1534,26,28,104,761,498,19,44
4147,4,22,7,90,1,5,4
3,2,6,15,3,5,10,9
28,2784,14,11,223,4,16,5
4,478,88,106,1168,572,115,55
3,1032,5,8,1,60,4,3
453,507,17,10,42,210,18,1
1,2,1,39,16,252,2,7
144,1028,62,42,825,1140,39,4
160,1,7,8,192,57,2,3
1,73,35,2,472,1,47,1
441,4355,6,202,66,3238,8,201
1,543,15,8,12,27,5,3
4,1,31,5,148,1,6,1
1037,699,424,138,2086,1149,151,292
153,1,21,8,106,1,25,7
1,2,2,2,1,1,3,2
1,83,65,28,93,3,7,2
15,5,7,9,135,1,10,6
68,2,20,91,244,509,16,5
647,2,20,39,30,97,8,1
23,504,189,146,1280,2124,75,287
2215,415,14,8,121,15,24,6
3,416,2,3,1,1,1,3
3184,346,17,4,402,4,24,4
1,291,94,38,892,1737,40,216
1,3,9,54,1,3122,14,986
3,2,9,11,232,1,11,1
3,3,116,83,955,1131,52,83
291,482,8,12,2,2,8,3
4,892,141,7,437,5,43,5
512,972,215,75,4185,267,429,9
4785,1289,307,8,4128,31,262,12
366,3,3,44,181,375,5,17
1103,351,159,53,1032,291,42,2
19,1308,180,12,2174,60,144,4
1,1,10,12,1,158,6,39
3,814,13,14,14,91,9,47
674,1,51,131,407,823,9,97
1,5,20,11,70,4,6,4
1,5,42,27,113,145,2,11
3,88,72,14,208,49,5,5
13,2,77,136,1779,1271,144,41
1,3,10,31,310,141,13,3
3,4,9,32,187,41,13,1
4,4,6,59,42,585,22,79
5032,48,23,18,141,3,9,3
27,63,4,11,271,4,8,6
1056,321,28,24,213,70,12,63
1749,112,67,107,150,721,17,23
4,1,14,107,648,1310,26,184
1,1,55,4,361,1,4,2
2,427,43,16,568,70,30,3
4,4,25,471,3,9658,30,2020
1,1,5,8,54,93,8,1
42,2,5,17,50,189,12,37
1,3,92,111,12,1157,25,77
3,2279,111,23,966,78,72,8
31,830,26,23,57,16,23,8
1,738,3,11,111,135,6,6
16,1,23,7,347,2,30,2
520,1154,210,23,4028,1,338,4
514,3,11,37,433,88,48,4
630,2,45,4,332,126,14,8
290,148,220,80,4144,791,374,6
1133,423,55,26,908,3,77,6
79,3,44,12,114,1,17,2
2007,220,127,55,5526,238,261,29
6235,9,1,1,23,2,5,2
28,5,4,2,2,1,9,6
3,6,101,105,2047,1209,97,240
906,4,34,8,47,3,8,2
2,10,43,28,920,190,15,2
1,1,33,6,51,2,4,3
2770,5,33,36,322,261,9,5
1083,1196,287,67,3102,918,100,56
61,4,198,17,3594,7,251,9
21,1,5,35,302,78,5,7
1,532,4,13,288,133,34,2
1,140,3,15,2,4,9,4
1,1,41,23,626,1,5,3
1,1160,3,10,327,79,4,1
2,411,4,7,3,1,12,5
2245,584,20,49,12,8,15,5
3,243,53,68,682,511,11,6
292,3,9,15,1,9,4,3
15,471,8,35,79,261,11,59
132,2,23,43,81,158,5,1
3050,1569,21,6,36,106,9,6
11,1316,40,28,212,308,15,43
1,491,9,54,1,982,9,253
4,187,8,15,78,570,7,85
1,1,8,14,61,2,5,6
1,670,131,33,2915,898,165,39
2,777,36,24,288,112,12,6
868,2,12,73,287,233,5,1
854,552,177,199,1724,3066,71,739
2031,768,2,84,1,1972,12,356
1,855,327,12,11696,21,1743,19
83,1,15,169,378,7068,33,2607
311,4,5,35,5,6,11,7
1,4,7,5,123,3,4,5
131,3,77,87,394,925,16,146
3,458,42,104,144,639,23,20
14,316,154,21,3940,178,426,93
2936,123,89,82,552,374,41,2
306,1360,45,8,138,1,9,2
1463,3122,18,153,88,3252,23,360
1,3,4,7,2,5,4,5
493,1026,19,8,144,1,4,1
2,10,62,2,1338,3,47,1
1407,698,81,17,1036,553,54,72
753,474,157,41,994,313,154,3
2255,1062,1,15,1,8,2,1
466,780,7,79,4,491,3,1
6626,1125,23,1,64,1,1,1
443,93,2,1,1,1,2,1
64,1008,70,35,603,69,4,1
344,582,3,50,1,160,2,1
4,184,12,2,37,1,2,1
1,173,19,21,397,62,4,1
2,1,1,1,1,1,1,1
1260,4,20,12,1,58,3,1
732,784,34,26,149,36,5,37
742,372,70,12,189,34,13,2
1,1,4,2,145,7,2,1
2097,2705,3,34,99,114,3,1
1944,1,53,11,43,2,5,1
1,3,37,36,283,261,20,23
97,854,46,29,621,198,57,3
298,1522,31,12,93,97,4,1
1416,852,1,3,1,1,1,1
30,1,28,4,860,1,70,1
3461,495,107,41,1201,20,95,1
1024,369,2,2,1,2,8,1
1958,70,2,19,1,1,1,1
8,3,51,11,376,41,1,26
435,701,1,1,116,1,1,1
2,12,14,1,98,1,10,2
1182,2,7,1,350,1,1,1
3461,266,5,16,42,3,9,2
5,1263,2,1,1,1,1,1
25,1894,31,16,1,337,5,62
311,1250,7,13,602,36,1,1
1220,2135,3,1,5,3,1,2
937,516,15,1,6,1,2,1
2,508,5,10,2,19,5,3
2515,325,4,6,1,21,6,2
791,595,23,1,1,1,1,1
3,863,14,1,1,1,1,1
21,3,20,5,112,1,3,1
2126,1197,160,12,408,1,34,3
1715,406,12,1,2,1,1,1
33,2,1,2,1,114,1,1
1558,458,4,98,481,1870,6,321
3,1311,1,13,22,3,6,1
357,1407,42,13,511,258,12,1
18,5,3,2,1,1,2,1
1977,877,4,1,69,1,3,1
899,262,39,3,47,1,12,2
352,1743,31,18,2426,66,256,32
102,501,25,5,133,1,3,2
4,38,3,1,14,71,1,2
1118,4,1,3,25,1,1,1
470,1062,1,3,1,1,2,1
379,170,1,1,96,1,16,1
679,363,2,20,3,152,9,1
10,168,6,4,1070,1,11,1
3988,46,21,16,2,2,2,3
5,3,1,2,1,1,7,1
2324,321,10,28,611,201,17,75
25,292,40,3,128,1,5,2
88,546,15,1,2,1,1,3
9,127,1,2,1,1,1,1
1366,1161,3,4,3,1,1,3
289,8,12,6,63,2,5,1
98,947,51,45,649,29,66,3
116,124,57,3,13,1,2,1
1635,623,22,2,217,1,7,4
6,4,1,5,29,3,3,3
81,3,2,20,1,19,4,1
6,537,7,1,16,1,3,1
2,327,45,5,37,1,2,2
1164,391,1,30,1,2,3,2
52,1012,3,3,123,1,6,1
7,2,3,44,2,77,2,4
32,2664,4,2,184,1,2,1
1240,745,3,19,117,5,2,1
251,65,1,4,68,1,14,1
309,222,1,3,1,1,1,2
616,622,8,12,2,92,1,1
1,295,1,2,35,15,3,1
91,1553,21,5,302,1,3,1
199,223,55,33,172,836,22,61
4,234,1,1,16,2,1,1
2784,6,12,1,68,1,2,1
1,487,15,4,553,180,4,1
889,304,40,80,8,474,1,80
5,2,1,19,135,1,2,2
2549,2122,11,1,81,1,3,1
3,250,1,1,1,1,2,1
117,1152,191,10,1882,10,133,1
1952,716,5,8,523,64,4,1
2017,3,3,4,2,1,1,1
4,312,5,7,1,61,8,4
398,2,1,6,1,1,5,2
253,6,3,35,1,8,1,1
2142,6,7,5,99,3,6,3
1,66,1,18,1,174,1,32
1,325,1,2,1,1,2,1
220,73,7,57,13,169,1,2
3,440,2,61,1,108,1,2
1324,173,5,4,4,1,5,2
2,2,2,2,1,1,2,1
1076,156,1,25,588,1,5,4
351,226,2,3,905,1,2,2
1726,240,1,10,1,1,1,1
1,1,1,4,1,1,3,4
845,1134,2,167,299,3358,9,1100
1,2,21,1,1,2,3,1
178,1,2,2,1,1,2,2
93,1431,13,26,707,2,3,2
2,1,1,2,1,1,2,13
467,1,1,2,139,1,1,1
4,4,52,2,212,1,8,1
240,651,11,3,2,18,3,1
